primaryName,tconst_x,averageRating,numVotes,titleType,primaryTitle,isAdult,runtimeMinutes
David Smith,tt0237458,5.0,6,movie,Mexique mort ou vif,0,53
Michael Smith,tt0047757,7.6,851,tvSeries,The Mickey Mouse Club,0,60
Michael Smith,tt0046592,8.0,259,tvSeries,December Bride,0,30
Michael Smith,tt0054041,5.4,330,movie,Ma Barker's Killer Brood,0,89
Michael Smith,tt0063984,4.2,20,movie,The Activist,0,87
Michael Smith,tt0182996,3.8,3442,movie,Don't Go in the Woods,0,82
Michael Smith,tt0093200,6.9,6222,movie,Hollywood Shuffle,0,81
Michael Smith,tt0108551,7.3,24136,movie,What's Love Got to Do with It,0,118
Michael Smith,tt0105573,5.7,1221,movie,There Goes the Neighborhood,0,88
Michael Smith,tt0094025,6.7,28141,movie,Stakeout,0,117
Michael Smith,tt0083944,7.7,270161,movie,First Blood,0,93
Michael Smith,tt0329101,5.7,125990,movie,Freddy vs. Jason,0,97
Michael Smith,tt0120657,6.6,130552,movie,The 13th Warrior,0,102
Michael Smith,tt0824229,1.5,227,tvSeries,Today Tonight,0,30
Michael Smith,tt6518878,1.9,199,tvSeries,Paul Murray Live,0,120
Michael Smith,tt1974671,8.0,156,tvSeries,Go Back to Where You Came From,0,171
Michael Smith,tt1604928,8.3,36,tvSeries,Insight,0,60
Michael Smith,tt0240305,8.3,77,tvSeries,Where the Action Is,0,60
Michael Smith,tt0173955,8.1,13,tvSpecial,Kenny Rogers and the First Edition: Rollin' on the River,0,48
Michael Smith,tt0083539,7.5,38,movie,All by Myself: The Eartha Kitt Story,0,87
Michael Smith,tt0119685,4.9,64,movie,Mobius,0,96
Michael Smith,tt0301212,5.5,47,tvMovie,Donner,0,30
Michael Smith,tt0093640,7.1,44724,movie,No Way Out,0,114
Michael Smith,tt0048960,6.7,29192,movie,Around the World in 80 Days,0,167
Michael Smith,tt0041308,6.4,608,movie,The Doolins of Oklahoma,0,90
Michael Smith,tt0036719,6.5,1551,movie,The Conspirators,0,101
Michael Smith,tt0157583,6.4,21748,movie,Enigma,0,119
Michael Smith,tt0114648,4.5,598,movie,Terminal Justice,0,94
Michael Smith,tt0094737,7.3,235946,movie,Big,0,104
Michael Smith,tt1001508,6.4,180402,movie,He's Just Not That Into You,0,129
Michael Smith,tt0093818,7.4,35600,movie,Radio Days,0,88
Michael Smith,tt0427392,5.9,81764,movie,The Invasion,0,99
Michael Smith,tt1594381,6.1,1208,tvSeries,Team Umizoomi,0,24
Michael Smith,tt0163929,6.9,6527,tvSeries,Blue's Clues,0,25
Michael Smith,tt1105469,6.0,1091,tvSeries,Super Why!,0,30
David Smith,tt0766227,8.0,9,tvSeries,Mirrorball,0,40
David Smith,tt0291015,6.5,170,short,Amarillo by Morning,0,29
Chris Smith,tt6382718,6.4,6,tvSeries,The Break Boys,0,30
Chris Smith,tt5482752,3.4,134,movie,The Edict,0,85
Chris Smith,tt5482752,3.4,134,movie,The Edict,0,85
Michael Johnson,tt5941336,6.1,66,movie,Sudsy Slim Rides Again,0,119
Michael Johnson,tt9000034,7.5,11,short,If You Knew,0,5
Michael Smith,tt8947098,5.1,28,short,The Big Break,0,13
Michael Smith,tt8992540,8.8,13,tvSeries,Welcome Home,0,30
David Smith,tt9136084,7.4,21,short,Unseen,0,15
Michael Smith,tt4458594,5.7,1073,tvSeries,Blaze and the Monster Machines,0,22
Michael Smith,tt4458594,5.7,1073,tvSeries,Blaze and the Monster Machines,0,22
David Smith,tt0067559,5.4,381,movie,The Peace Killers,0,88
Michael Smith,tt9197176,8.8,10,movie,Papers Xii: Paper Trail Pt 2.,0,132
Chris Smith,tt9265188,7.5,9,tvMiniSeries,Made in Britain,0,270
Michael Smith,tt8496508,6.8,415,tvSeries,The Heights,0,30
Michael Smith,tt0092999,9.2,714,tvSeries,Eyes on the Prize,0,360
Michael Smith,tt0270211,7.8,190,movie,Attica,0,80
Michael Smith,tt0237630,6.6,377,short,REW FFWD,0,31
David Smith,tt0218049,8.0,31,tvMovie,Biographies: The Enigma of Bobby Bittman,0,30
Michael Johnson,tt11231356,2.9,135,movie,Beneath the Green,0,80
David Smith,tt0280241,5.7,1409,tvMovie,Black River,0,84
David Smith,tt0081857,3.6,2712,tvSeries,Entertainment Tonight,0,30
David Smith,tt0277744,5.2,1483,movie,Dead Heat,0,94
David Smith,tt0184955,7.3,40,short,Tilt,0,36
Michael Johnson,tt2386278,5.1,8627,movie,Haunt,0,86
Chris Smith,tt3961576,7.0,18,tvMovie,Mel Smith: I've Sort of Done Things,0,60
Chris Smith,tt7851804,5.0,39,short,Hippopotamus,0,15
Chris Smith,tt1554356,7.3,1022,tvSeries,On the Case with Paula Zahn,0,60
Chris Smith,tt0423652,8.2,4122,tvSeries,The First 48,0,60
Michael Smith,tt0423652,8.2,4122,tvSeries,The First 48,0,60
Michael Johnson,tt0423652,8.2,4122,tvSeries,The First 48,0,60
Michael Smith,tt0423652,8.2,4122,tvSeries,The First 48,0,60
Chris Smith,tt6348126,6.8,781,tvSeries,Beyblade Burst,0,24
Chris Smith,tt6348126,6.8,781,tvSeries,Beyblade Burst,0,24
Michael Johnson,tt9561862,8.4,189279,tvSeries,"Love, Death & Robots",0,15
Michael Johnson,tt7637778,5.4,147,movie,DC Noir,0,94
Michael Johnson,tt7364756,7.6,114,movie,Sinners Wanted,0,98
Michael Johnson,tt8722624,6.2,1067,movie,Really Love,0,95
Michael Johnson,tt0123338,7.5,4243,tvSeries,60 Minutes,0,60
David Smith,tt0123338,7.5,4243,tvSeries,60 Minutes,0,60
David Smith,tt0123338,7.5,4243,tvSeries,60 Minutes,0,60
Chris Smith,tt2338454,5.6,20567,movie,Unicorn Store,0,92
Michael Smith,tt7833994,5.9,160,movie,L'affaire Jack King,0,52
Michael Johnson,tt11863046,6.6,3126,movie,The Edge of All We Know,0,99
David Smith,tt10400110,7.3,7,short,The Circle,0,15
Michael Johnson,tt7736968,5.5,362,movie,5 Years Apart,0,76
David Smith,tt6246396,7.7,47,short,Bone Mother,0,8
Michael Johnson,tt9042408,5.3,377,tvSeries,The Master of Ragnarok and Blesser of Einherjar,0,23
Chris Smith,tt10269016,7.1,156,movie,Are You Proud?,0,100
Michael Johnson,tt10479726,4.0,169,movie,Mags and Julie Go on a Road Trip.,0,116
David Smith,tt0088147,6.5,61,movie,Solo,0,96
David Smith,tt0127503,4.1,586,movie,Death House,0,90
Chris Smith,tt10855234,8.9,49,short,Calf Rope,0,28
Michael Smith,tt0271022,5.9,293,tvMiniSeries,The Judge,0,120
Michael Smith,tt0113706,6.2,49,tvSeries,Love Street,0,30
Chris Smith,tt0094715,7.0,28469,movie,Beaches,0,123
Chris Smith,tt0051525,7.6,17184,movie,The Defiant Ones,0,96
Chris Smith,tt0044119,6.1,1101,movie,That's My Boy,0,104
Chris Smith,tt0099951,6.6,8915,movie,The Krays,0,115
Michael Smith,tt8203706,8.1,584,movie,American Deep State,0,139
Michael Smith,tt8203706,8.1,584,movie,American Deep State,0,139
Chris Smith,tt0358809,6.3,17,tvSeries,Critical Rescue,0,60
Chris Smith,tt0309152,7.9,1299,tvSeries,The F.B.I. Files,0,60
Chris Smith,tt0360255,8.8,29,tvSeries,Diagnosis: Unknown,0,60
Chris Smith,tt0482420,8.3,22,tvSeries,Psychic Witness,0,48
Michael Smith,tt2558816,6.9,3041,tvSeries,Eastsiders,0,115
David Smith,tt7745956,8.1,18567,tvSeries,She-Ra and the Princesses of Power,0,30
